id,nom_groupe,nom_couleur,rgb
1,Red,Rose exubérant,"rgb(181, 77, 127)"
2,Red,Pitaya,"rgb(204, 97, 127)"
3,Red,Cerises confites,"rgb(171, 60, 81)"
4,Red,Radis,"rgb(164, 46, 65)"
5,Red,Coqueluche,"rgb(168, 46, 51)"
6,Red,Rouge vif,"rgb(191, 45, 50)"
7,Red,Rouge positif,"rgb(173, 44, 52)"
8,Red,Tisane de baie,"rgb(235, 209, 219)"
9,Red,Rose enjouée,"rgb(237, 213, 221)"
10,Red,Priscilla,"rgb(241, 211, 218)"
11,Red,Pétales d'impatiens,"rgb(241, 210, 215)"
12,Red,Corbeille d'argent,"rgb(242, 213, 215)"
13,Red,Belle rose,"rgb(241, 198, 196)"
14,Red,Rose Laurier,"rgb(242, 204, 197)"
15,Red,Irrésistible,"rgb(227, 192, 207)"
16,Red,Enfantin,"rgb(232, 192, 207)"
17,Red,Azalée,"rgb(239, 192, 203)"
18,Red,Dans le rose,"rgb(240, 188, 201)"
19,Red,Aimable,"rgb(240, 193, 198)"
20,Red,Espoir,"rgb(240, 179, 178)"
21,Red,Corail juvénile,"rgb(240, 175, 168)"
22,Red,Laurier-rose,"rgb(203, 154, 173)"
23,Red,Rose hautain,"rgb(216, 153, 177)"
24,Red,Rose Jaipur,"rgb(227, 146, 161)"
25,Red,Joyeux,"rgb(235, 146, 163)"
26,Red,Amaryllis,"rgb(237, 147, 157)"
27,Red,Corail séduisant,"rgb(237, 145, 144)"
28,Red,Charisme,"rgb(238, 148, 137)"
29,Red,Trèfle violet,"rgb(184, 126, 147)"
30,Red,Cyclamen,"rgb(196, 123, 149)"
31,Red,Tubéreuse,"rgb(212, 124, 140)"
32,Red,Roses à venir,"rgb(221, 119, 136)"
33,Red,Grenadine,"rgb(214, 105, 114)"
34,Red,Bégonia,"rgb(215, 108, 110)"
35,Red,Récif corallien,"rgb(217, 118, 108)"
36,Red,Prune noble,"rgb(146, 87, 111)"
37,Red,Teinte de rubis,"rgb(162, 86, 111)"
38,Red,Rose gala,"rgb(176, 75, 99)"
39,Red,Rose Instinct,"rgb(200, 79, 104)"
40,Red,Pluie de feu,"rgb(187, 75, 81)"
41,Red,Rouge envoûtant,"rgb(183, 78, 79)"
42,Red,Tomate rouge,"rgb(178, 71, 67)"
43,Red,Boule d'énergie,"rgb(149, 61, 104)"
44,Red,Amélanche,"rgb(133, 65, 88)"
45,Red,Chaud,"rgb(172, 67, 98)"
46,Red,Ressenti,"rgb(189, 76, 95)"
47,Red,Clou du spectacle,"rgb(164, 46, 55)"
48,Red,Vermillon,"rgb(164, 56, 52)"
49,Red,Rouge délirant,"rgb(161, 59, 52)"
50,Red,Fuchsia cavalier,"rgb(146, 52, 91)"
51,Red,Framboise,"rgb(124, 54, 85)"
52,Red,Cerise,"rgb(153, 50, 78)"
53,Red,Valentine,"rgb(165, 58, 78)"
54,Red,Pointsettia,"rgb(157, 55, 60)"
55,Red,Rouge antique,"rgb(159, 68, 66)"
56,Red,Boléro,"rgb(144, 57, 52)"
57,Red,Bouton de rose,"rgb(224, 205, 209)"
58,Red,Réservé,"rgb(232, 212, 213)"
59,Red,Innocence,"rgb(235, 209, 207)"
60,Red,Rose charmant,"rgb(237, 211, 210)"
61,Red,Vision rosée,"rgb(235, 206, 203)"
62,Red,Romance,"rgb(235, 207, 195)"
63,Red,Pêche pittoresque,"rgb(234, 205, 193)"
64,Red,Délicieux,"rgb(210, 182, 190)"
65,Red,Rose atténué,"rgb(218, 189, 193)"
66,Red,Coloration rose,"rgb(220, 182, 181)"
67,Red,Fleur de lotus,"rgb(230, 189, 189)"
68,Red,Rose gracieux,"rgb(227, 183, 177)"
69,Red,Corail velouté,"rgb(227, 181, 168)"
70,Red,Saumon fumé,"rgb(226, 182, 167)"
71,Red,Rosé,"rgb(185, 149, 161)"
72,Red,Broderie rose,"rgb(199, 158, 162)"
73,Red,Fleur pressée,"rgb(195, 147, 147)"
74,Red,Rose mémorable,"rgb(207, 138, 141)"
75,Red,Rose retentissante,"rgb(205, 142, 137)"
76,Red,Corail constant,"rgb(205, 142, 127)"
